2025-03-31 14:46:53,585 INFO    MainThread:23065 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-31 14:46:53,586 INFO    MainThread:23065 [wandb_setup.py:_flush():67] Configure stats pid to 23065
2025-03-31 14:46:53,586 INFO    MainThread:23065 [wandb_setup.py:_flush():67] Loading settings from /Users/jacob/.config/wandb/settings
2025-03-31 14:46:53,586 INFO    MainThread:23065 [wandb_setup.py:_flush():67] Loading settings from /Users/jacob/Desktop/MDS/COLX_585/COLX_531_Project_Cole-Daoming-Jacob-Juan/milestone5/wandb/settings
2025-03-31 14:46:53,586 INFO    MainThread:23065 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-31 14:46:53,586 INFO    MainThread:23065 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /Users/jacob/Desktop/MDS/COLX_585/COLX_531_Project_Cole-Daoming-Jacob-Juan/milestone5/wandb/run-20250331_144653-v8144ojc/logs/debug.log
2025-03-31 14:46:53,586 INFO    MainThread:23065 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /Users/jacob/Desktop/MDS/COLX_585/COLX_531_Project_Cole-Daoming-Jacob-Juan/milestone5/wandb/run-20250331_144653-v8144ojc/logs/debug-internal.log
2025-03-31 14:46:53,586 INFO    MainThread:23065 [wandb_init.py:init():761] calling init triggers
2025-03-31 14:46:53,586 INFO    MainThread:23065 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-03-31 14:46:53,586 INFO    MainThread:23065 [wandb_init.py:init():784] starting backend
2025-03-31 14:46:53,586 INFO    MainThread:23065 [wandb_init.py:init():788] sending inform_init request
2025-03-31 14:46:53,674 INFO    MainThread:23065 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-03-31 14:46:53,674 INFO    MainThread:23065 [wandb_init.py:init():798] backend started and connected
2025-03-31 14:46:53,680 INFO    MainThread:23065 [wandb_init.py:init():891] updated telemetry
2025-03-31 14:46:53,754 INFO    MainThread:23065 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-31 14:46:54,027 INFO    MainThread:23065 [wandb_init.py:init():990] starting run threads in backend
2025-03-31 14:46:54,153 INFO    MainThread:23065 [wandb_run.py:_console_start():2375] atexit reg
2025-03-31 14:46:54,154 INFO    MainThread:23065 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-31 14:46:54,154 INFO    MainThread:23065 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-31 14:46:54,154 INFO    MainThread:23065 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-31 14:46:54,161 INFO    MainThread:23065 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-31 14:49:09,248 INFO    MsgRouterThr:23065 [mailbox.py:close():129] Closing mailbox, abandoning 2 handles.
